"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
psimico113,imico_administrativo_pre,,radio,"¿La organización tendría un sistema para contratar rápidamente nuevo personal para el programa según sea necesario?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico114,imico_administrativo_pre,,radio,"¿La organización tendría un sistema para la formación de personal (de salud) nuevo para el programa según sea necesario?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico115,imico_administrativo_pre,,radio,"¿El programa estaría bien integrado dentro de las operaciones de la organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico116,imico_administrativo_pre,,radio,"¿Los líderes de la organización manejarían con efectividad el dinero necesario para el programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico117,imico_administrativo_pre,,radio,"¿Los líderes de la organización manejarían eficientemente el personal y otros recursos?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico118,imico_administrativo_pre,,radio,"¿Los líderes de la organización proveerían comentarios regulares al personal?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico119,imico_administrativo_pre,,radio,"¿Los líderes de la organización proporcionarían actualizaciones regulares sobre el programa a otros dentro de la organización?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico120,imico_administrativo_pre,,radio,"¿La organización comunicarían la necesidad del programa al público?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico121,imico_administrativo_pre,,radio,"¿Los líderes de la organización articularían eficazmente la visión del programa al público?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico122,imico_administrativo_pre,,radio,"¿Se divulgaría el programa de una manera que cree interés?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico123,imico_administrativo_pre,,radio,"¿La organización aumentaría la conciencia de la comunidad sobre los temas que el programa aborda?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico124,imico_administrativo_pre,,radio,"¿La organización demostraría el valor del programa a la comunidad?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico125,imico_administrativo_pre,,radio,"¿La organización comunicaría la necesidad para el programa al gobierno?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico126,imico_administrativo_pre,,radio,"¿Los líderes de la organización articularían eficazmente la visión del programa al gobierno?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico127,imico_administrativo_pre,,radio,"¿Se divulgaría el programa de una manera que cree interés entre los funcionarios gubernamentales?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico128,imico_administrativo_pre,,radio,"¿La organización aumentaría la conciencia del gobierno sobre los temas que el programa aborda?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico129,imico_administrativo_pre,,radio,"¿La organización demostraría el valor del programa al gobierno?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico130,imico_administrativo_pre,,radio,"¿La organización comunicaría la necesidad del programa a posibles donantes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico131,imico_administrativo_pre,,radio,"¿Los líderes de la organización articularían eficazmente la visión del programa a posibles donantes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico132,imico_administrativo_pre,,radio,"¿Se divulgaría el programa de una manera que cree interés entre posibles donantes?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico133,imico_administrativo_pre,,radio,"¿La organización aumentaría la conciencia de posibles donantes sobre los temas que el programa aborda?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico134,imico_administrativo_pre,,radio,"¿Sabe la organización dónde buscar fondos (p. ejj. para investigación, para sostenimiento del programa)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico135,imico_administrativo_pre,,radio,"¿La organización tendría un plan financiero a largo plazo para el programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico136,imico_administrativo_pre,,radio,"¿La organización tendría un plan de sostenibilidad para el programa?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
psimico137,imico_administrativo_pre,,radio,"¿La organización tendría un proceso para abordar los intereses de los sectores interesados en su planificación estratégica?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder",,,,,,,y,,,matrixcimico23_48c07e,,
interview_type,identificador,,radio,"Tipo de entrevistado","1, Personal de salud | 2, Administrativo",,,,,,,y,,,,,
audioe_1,identificador,,file,"Audio entrevista",,,,,,,,y,,,,,
texto_intro_7ab861,consentimiento_de_participacin_en_una_investi_3bbe,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: center;""><strong>CONSENTIMIENTO DE PARTICIPACIÓN EN UNA INVESTIGACIÓN - </strong><strong>FORMA DEL PERSONAL ADMINISTRATIVO Y MÉDICO</strong>  </p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><strong>Título del Estudio:</strong> Integración de la atención en salud mental en sitios rurales y urbanos de atención primaria en Colombia: estudio de implementación de un modelo de atención en salud mental  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><strong>Investigador Principal:</strong> Magda Cepeda, MD PhD, Pontificia Universidad Javeriana   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Se le solicita su participación en un estudio de investigación, su participación es completamente voluntaria.</span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>Introducción:</strong></span><strong> </strong></span><span style=""font-weight: normal;"">Se le solicita su participación en un estudio de investigación, su participación es completamente voluntaria</span>.</p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Usted está siendo invitado a participar en este estudio como empleado de esta institución de salud, que participa en un estudio que evalúa un nuevo modelo de atención para la depresión, el uso problemático del alcohol y ansiedad. Su decisión de participar en este estudio no afectará su situación laboral en este centro de asistencia médica.  Puede decir ""no"" al contestar a cualquier pregunta. Si acepta participar, puede dejar el estudio en cualquier momento sin que esto afecte su situación laboral en este centro de asistencia médica.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Antes de decidirse a participar en este estudio, lea atentamente la siguiente información. Siéntase libre de preguntar a un miembro del equipo de investigación sobre lo que significa hacer parte del estudio. Por favor, haga preguntas si hay algo sobre este estudio que no entiende.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><strong><span style=""text-decoration: underline;"">¿Cuál es el propósito de este estudio?</span> </strong>El propósito de este estudio es indagar sobre la percepción sobre la integración de la salud mental en la práctica clínica y en la institución de salud participante, por medio de entrevistas, grupos focales y cuestionarios, en una muestra del personal (médico y administrativo). Las instituciones participantes en este estudio son sitios de atención primaria y están localizadas en áreas rurales y urbanas en Colombia. Conocer sus percepciones nos permitirá explorar las necesidades, barreras, facilitadores y experiencias de profesionales de la salud, administradores y pacientes sobre el acceso, la continuidad, la integración, la calidad y la resolución de problemas de salud mental en atención primaria; y posteriormente, explorar los cambios en las percepciones de implementación e integración de salud mental, así como de fortalezas, debilidades, y oportunidades para la integración de la atención en salud mental en los sitios de atención.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Las entrevistas individuales no deberían durar más de 1 hora (60 minutos). Sus respuestas al cuestionario serán registradas en un formulario digital y solamente los investigadores de este estudio tendrán acceso a sus respuestas. En caso de fallas en la red de internet, la información será registrada en un formulario en papel; estas respuestas serán registradas en el formulario digital una vez se restablezca la red y el formulario en papel será destruido. Las entrevistas individuales serán grabadas (en audio) y transcritas para registrar la información que usted aportará de la manera más fidedigna posible, así como facilitar su posterior análisis. El entrevistador y/o equipo de investigación también tomará apuntes durante la entrevista, para orientar la entrevista.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿Cuáles son los beneficios de participar en este estudio?</strong></span><strong> </strong>No hay beneficios directos por su participación. Ser un participante en este estudio y compartir información con el equipo de investigación ayudará a aprender más sobre estrategias para integrar de manera efectiva la atención en salud mental en la práctica clínica diaria de este sitio de atención y, específicamente, de proveer atención a pacientes con depresión, consumo riesgoso de alcohol y ansiedad. El objetivo es recopilar información que pueda ayudar a sistemas de prestación de servicios médicos como el suyo en el futuro.    </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿En qué consiste este estudio?</strong></span><strong> </strong>Si acepta participar, un entrevistador capacitado le pedirá que responda un cuestionario con respuestas predeterminadas, que permitirán indagar sobre su percepción acerca del nivel de integración de la salud mental en la práctica clínica diaria y en la institución participante, así como de las barreras y facilitadores para esta integración. Adicionalmente, el entrevistador le hará preguntas de respuesta abierta, para complementar sus respuestas sobre las necesidades, barreras, facilitadores y experiencias sobre el acceso, la continuidad, la integración, la calidad y la resolución de problemas de salud mental en atención primaria. En esta entrevista también se indagará sobre cualquier beneficio o desafíos que usted (o sus pacientes) hayan experimentado con la atención en salud mental. Se le pedirá su opinión sobre los modelos existentes para implementar el modelo de atención primaria en el contexto dado, así como el potencial beneficio de este modelo de atención y su impacto en la calidad y el alcance de la atención al paciente en su centro asistencial.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿Cuáles son las opciones si no desea participar en este estudio?</strong></span><strong> </strong>No tiene que participar en este estudio. Si usted elige no participar en este estudio, puede continuar su trabajo como de costumbre en su lugar de trabajo.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>Si participa en este estudio, ¿qué actividades se realizarán únicamente con fines de investigación?</strong></span><strong> </strong>Si participa en este estudio, la información que proporcione durante las entrevistas será usada únicamente para propósitos de investigación.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿Cuáles son los riesgos de participar en este estudio?</strong></span><strong> </strong>Se considera que la participación de médicos y personal administrativo es sin riesgo, ya que se obtendrá la información en el contexto de entrevistas y esta no afecta sus variables sicológicas o sociales o de ninguna otra índole. Además, toda la información proporcionada por usted en el contexto de su participación en este estudio será des-identificada una vez recolectada (es decir, la información no estará vinculada a sus datos de identificación) y no se abordarán aspectos sensibles de su conducta.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Sin embargo, usted podría encontrar incómodas algunas de las preguntas que se le formulen (por favor, vea la sección sobre confidencialidad que se encuentra más adelante, para detalles sobre cómo mantendremos esta información privada y segura). Por favor, tenga en cuenta que usted no tiene que responder a ninguna pregunta que le haga sentir incómodo.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Adicionalmente, no se compartirá sus respuestas de manera individual con sus compañeros o supervisores, y la información que suministre de ninguna manera permitirá identificarlo o vincularlo. Pese a esto, se podrá compartir el resumen o consolidado de la información de todos los empleados del centro asistencial que participen en esta investigación con sus compañeros o supervisores, sin identificarlo o vincularlo.    </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Se debe aclarar que existe una pequeña posibilidad de que su información privada pueda ser vista por personas fuera del equipo de investigación (las personas que supervisan este estudio, como comités de ética). Pese a esto, haremos todo lo posible para proteger su información o que sus respuestas puedan ser relacionadas directamente con usted. Nuestros esfuerzos para proteger su información están descritos en la siguiente sección llamada ""¿Cómo se protegerá su privacidad?"".  </span></p> <p style=""text-align: right;""><span style=""font-weight: normal;""><img style=""float: right;"" src=""https://redcap.husi.org.co/redcap_v13.4.10/DataEntry/image_view.php?pid=1100&id=53696&doc_id_hash=3b72dc782d96758c0f9770ee1fe3934eebc57084"" alt="""" width=""92"" height=""85"" /></span></p></div>",,,,,,,,,,,,,
texto_intro3_06e432,consentimiento_de_participacin_en_una_investi_3bbe,,descriptive,"<div class=""rich-text-field-label""><p style=""text-align: justify;""><span style=""font-weight: normal;""><strong>Otros elementos importantes que usted debe saber:</strong>  </span></p> <ul> <li style=""text-align: justify;""><strong style=""background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">Dejar el estudio:</strong><span style=""font-weight: normal; background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';""> usted tendrá la libertad de retirarse o dejar el estudio en cualquier momento, sin ninguna penalización y sin afectar la situación de su empleo en el centro de salud.  </span><span style=""font-weight: normal;"">Si decide dejar de participar en este estudio, puede cancelar el permiso para el uso de su información en la investigación. Usted debe informar a un miembro del equipo de investigación si desea cancelarlo. El equipo de investigación le ayudará a poner sus deseos por escrito. La información recopilada para el estudio antes de que su permiso sea cancelado seguirá siendo utilizada en la investigación.  </span></li> <li style=""text-align: justify;""><strong style=""background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">Nueva Información:</strong><span style=""font-weight: normal; background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';""> La nueva información sobre resultados de esta investigación se le dará a conocer cuándo esté disponible. Esto podría afectar su decisión de permanecer en este estudio. </span></li> <li style=""text-align: justify;""><strong style=""background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">Fondos:  </strong><span style=""font-weight: normal; background-color: var(--bs-body-bg); font-family: 'Open Sans', -apple-system, BlinkMacSystemFont, 'Segoe UI', Roboto, 'Helvetica Neue', Helvetica, Arial, Arial, sans-serif, 'Apple Color Emoji', 'Segoe UI Emoji', 'Segoe UI Symbol';"">Este estudio es financiado con fondos del Ministerio de Ciencia Tecnología e Innovación de Colombia. </span></li> </ul> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿Cómo se protegerá su privacidad?</strong></span><strong> </strong>Somos cautos al proteger la identidad de las personas que participan en este estudio. La información recolectada para este estudio es custodiada de manera segura y confidencial, con las excepciones exigidas por la ley.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Su nombre nunca aparecerá en documentos, publicaciones o presentaciones que resulten del estudio. La información será utilizada solo para fines científicos por parte de las personas responsables de esta investigación y nunca será compartida con su nombre u otros detalles que puedan identificarle. Las personas responsables de esta investigación incluyen un equipo de la Pontificia Universidad Javeriana.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Los datos recopilados durante el estudio se almacenarán en bases de datos seguras y cifradas (encriptadas) bajo un número de estudio, nunca por su nombre o identificación en los servidores de la Pontificia Universidad Javeriana. La Dirección de Tecnologías de Información de la Universidad cumple con todas las normas de seguridad nacional e internacional en protección de datos, incluida la asistencia en la seguridad informática relacionada con el proyecto de investigación.  Los procedimientos de la Dirección de Tecnologías de Información están disponibles en: <a href=""http://www.javeriana.edu.co/dir-tecnologias-de-informacion/asistencia-de-seguridad-informatica"">http://www.javeriana.edu.co/dir-tecnologias-de-informacion/asistencia-de-seguridad-informatica</a>. La protección de datos personales recopilados en este proyecto seguirá las leyes de regulación colombianas en la protección de datos: la Ley 1581 de 2012 y el decreto 1377 de 2013. Se recuerda que la información recopilada se utilizará únicamente para fines del estudio, como ya se indicó.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Los datos análogos (apuntes y notas de observador) se mantendrán protegidos dentro del Departamento de Epidemiología Clínica y Bioestadística en el Edificio del Hospital Universitario San Ignacio de la Pontificia Universidad Javeriana en un lugar asegurado. Solo los miembros del equipo de investigación tendrán el código o permiso para acceder a esta información. Los apuntes tomados durante las entrevistas u obtenidos en el seguimiento que se realice, serán digitalizados y guardados con las grabaciones de audio en un software protegido con contraseña. Los apuntes transcritos de las entrevistas no contendrán ninguna información que pueda identificarlo.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Se transcribirán las grabaciones de audio de las entrevistas cualitativas para poder analizar estos datos. Estas transcripciones no incluirán información que pueda identificarlo y se almacenarán, junto con las notas analógicas y las grabaciones de audio, en un software de gestión de datos de investigación protegido con contraseña de la Pontificia Universidad Javeriana. NO se divulgará la información que usted proporcione en el estudio a ninguna persona que no se encuentre dentro del equipo de investigación.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Este estudio es supervisado por grupos dedicados a proteger la seguridad de los participantes de estudios de investigación y para asegurar que el estudio se lleva a cabo correctamente. A estos grupos se les permite revisar la información privada (si es necesario). En este estudio, este grupo es el Comité de Investigaciones y Ética de la Pontificia Universidad Javeriana y el Hospital Universitario San Ignacio.   </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿A quién debe llamar por este estudio?</strong></span><strong> </strong>Si usted tiene más preguntas acerca de este estudio o en caso de cualquier situación que le impida continuar participando en el estudio, por favor póngase en contacto con la persona responsable para este estudio: Dra. Magda Cepeda a +(57)601-3208320 extensión 2807 o por correo electrónico a macepeda@javeriana.edu.co.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Si la Dra. Cepeda no está disponible otros miembros del equipo de investigación estarán disponibles para responder a sus preguntas durante el horario de oficina normal al +57(601)-3208320 extensión 2827 o al correo electrónico <a href=""mailto:ex-lmvalderrama@javeriana.edu.co"">ex-lmvalderrama@javeriana.edu.co</a> </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">Si tiene preguntas, inquietudes, quejas o sugerencias sobre la investigación humana en la Universidad Javeriana, puede llamar al Comité de Ética Institucional al +(57)601-5946161 Ext. 2741 o +(57)601-2879227 durante el horario de oficina normal.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><span style=""text-decoration: underline;""><strong>¿Qué pasa con los costos de este estudio?</strong></span><strong> </strong>No hay ningún costo para usted ni recibirá ninguna compensación por participar en este estudio.  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;""><strong>FIRMA DEL CONSENTIMIENTO INFORMADO</strong>  </span></p> <p style=""text-align: justify;""><span style=""font-weight: normal;"">He leído la información anterior sobre el estudio ""Integración de la atención en salud mental en sitios rurales y urbanos de atención primaria en Colombia: estudio de implementación de un modelo de atención en salud mental"" y se me ha dado tiempo para hacer preguntas. Acepto participar en este estudio y se me dará una copia de este formulario de consentimiento.  </span></p> <p style=""text-align: right;""><span style=""font-weight: normal;""><img style=""float: right;"" src=""https://redcap.husi.org.co/redcap_v13.4.10/DataEntry/image_view.php?pid=1100&id=53696&doc_id_hash=3b72dc782d96758c0f9770ee1fe3934eebc57084"" alt="""" width=""92"" height=""85"" /></span></p></div>",,,,,,,,,,,,,
firma_personal_4c2799,consentimiento_de_participacin_en_una_investi_3bbe,,file,"Firma del participante",,,signature,,,y,,y,,,,,
fecha_personal_811aeb,consentimiento_de_participacin_en_una_investi_3bbe,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_personal_2_fba5b8,consentimiento_de_participacin_en_una_investi_3bbe,,text,"Nombre Impreso",,,,,,y,,y,,,,,
grabacion_paciente_b5de14,consentimiento_de_participacin_en_una_investi_3bbe,,descriptive,"Estoy de acuerdo en que mi entrevista puede ser grabado en audio.  Entiendo que soy elegible para participar en este estudio, aunque no esté de acuerdo en que mi entrevista sea grabada en audio.",,,,,,,,,,,,,
firma_personal_2_417236,consentimiento_de_participacin_en_una_investi_3bbe,,file,"Firma del participante",,,signature,,,y,,y,,,,,
fecha_personal_2_5ceb4c,consentimiento_de_participacin_en_una_investi_3bbe,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_personal_1dcc55,consentimiento_de_participacin_en_una_investi_3bbe,,text,"Nombre Impreso",,,,,,y,,y,,,,,
firma_invest_2c7d9b,consentimiento_de_participacin_en_una_investi_3bbe,,file,"Firma del Investigador o Designado ",,,signature,,,y,,y,,,,,
fecha_invest_ae60cf,consentimiento_de_participacin_en_una_investi_3bbe,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_invest_4a806e,consentimiento_de_participacin_en_una_investi_3bbe,,text,"Nombre Impreso",,,,,,y,,y,,,,,
firma_testigo_b8470b,consentimiento_de_participacin_en_una_investi_3bbe,,file,"Firma del Testigo",,,signature,,,y,,y,,,,,
fecha_testigo_873e79,consentimiento_de_participacin_en_una_investi_3bbe,,text,Fecha,,,datetime_dmy,,,,,y,,,,,
nombre_testigo_5b51cc,consentimiento_de_participacin_en_una_investi_3bbe,,text,"Nombre Impreso",,,,,,y,,y,,,,,
relacion_testigo_489ac3,consentimiento_de_participacin_en_una_investi_3bbe,,text,"Relación del Testigo al Participante",,,,,,,,y,,,,,
direccion_testigo_a7ec51,consentimiento_de_participacin_en_una_investi_3bbe,,text,"<div class=""rich-text-field-label""><p>Dirección del Testigo</p> <p><img style=""float: right;"" src=""https://redcap.husi.org.co/redcap_v13.4.10/DataEntry/image_view.php?pid=1100&id=53696&doc_id_hash=3b72dc782d96758c0f9770ee1fe3934eebc57084"" alt="""" width=""92"" height=""85"" /></p></div>",,,,,,,,y,,,,,
pdf_7c3961,consentimiento_de_participacin_en_una_investi_3bbe,,file,PDF,,,,,,,,,RH,,,,
fecha_elaboraci_n_7bdf14,imico_organization_post_923e20,,text,"Fecha de elaboración",,,date_dmy,,,y,,y,,,,,
centro,imico_organization_post_923e20,,text,"Nombre centro",,,,,,,,y,,,,,
pdescription_oimicopost_dfbd68,imico_organization_post_923e20,,descriptive,"El programa (DIADA) ofrece detección y tratamiento de depresión, problemas del uso de alcohol y ansiedad en atención primara para personas que asisten (al Hospital San Antonio de Mitú). En la sala de espera, la gente responde un breve cuestionario y el médico de atención primaria durante la visita examina a las personas que tiene un riesgo de depresión, problemas con el uso de alcohol y/o ansiedad, y determina si existe o no un problema clínico. 

Junto con el médico de atención primaria y el equipo de atención primaria, el paciente decide el tipo de tratamiento o manejo del problema. Las opciones para la depresión incluyen medicamentos, psicoterapia o el uso de una aplicación móvil (app).  Esta aplicación puede ser utilizada por la persona en cualquier momento, e incluye estrategias para manejar pensamientos o comportamientos relacionados con la depresión, así como la promoción de estilos de vida saludables y el autocontrol de conductas no saludables. Las personas que desean disminuir su patrón de riesgo de consumo de alcohol también pueden usar la aplicación.

El programa es coordinado por el equipo del centro de atención primaria y se espera que dure un año.  Durante ese tiempo, se espera que la persona asista a las citas aproximadamente una vez cada 2 meses. El equipo hará un seguimiento activo del progreso del paciente y consultará con un psiquiatra cuando las personas no respondan bien al tratamiento.  Se puede recomendar la remisión a un tratamiento especializado como resultado de la consulta entre el equipo primario y el psiquiatra.
",,,,,,,,,,,,,
introduction_oimico_1f8116,imico_organization_post_923e20,,descriptive,"Instrucciones para el entrevistador: Léale esto en voz alta a su entrevistado:

Las preguntas que siguen le preguntan acerca de sus opiniones y experiencias con los servicios de salud mental (y en particular el Programa DIADA) que su organización provee. Cuando utilizo el término ""organización"" me refiero a la organización para la que usted trabaja. Por favor, responda a una pregunta con su mejor conocimiento. Si no sabe o no tiene una opinión sobre una pregunta, por favor, indíquelo. Cuando utilizo el término ""Programa"" me refiero a DIADA. Cuando mencionamos ""líderes"" son las personas que usted considere juegan un rol de liderazgo en la organización.
",,,,,,,,,,,,,
tipo_cc_7c3b14,imico_organization_post_923e20,,radio,"Tipo de documento","1, Cédula de ciudadanía | 2, Cédula de extranjería",,,,,y,,y,,,,,
cc_5c1ac6,imico_organization_post_923e20,,text,"Número de identificación",,,number,,,y,,y,,,,,
fecha_nacimiento_695427,imico_organization_post_923e20,,text,"Fecha de nacimiento",,,date_dmy,,,y,,y,,,,,
sexo,imico_organization_post_923e20,,radio,Sexo,"1, Femenino | 2, Masculino | 3, Prefiero no responder",,,,,,,,,,,,
cultura_57b8d1,imico_organization_post_923e20,,radio,"De acuerdo con su cultura, lugar de residencia o características físicas, usted se reconoce como:","1, Indígena | 2, Palenquero | 3, Raizal | 4, Negro (Afro-colombiano) | 5, Gitano (Rom) | 6, Mestizo | 7, Blanco | 8, Ninguno de los anteriores | 9, Prefiero no responder",,,,,y,,y,,,,,
comunidad_a41b2d,imico_organization_post_923e20,,text,"¿Nombre etnia indígena?",,,,,,y,"[cultura_57b8d1] = '1'",y,,,,,
edcuaci_n_54219c,imico_organization_post_923e20,,radio,"¿Cuál es su nivel educativo?","1, Ninguno | 2, Primaria incompleta | 3, Primaria completa | 4, Secundaria incompleta | 5, Secundaria completa | 6, Técnico o Tecnólogo | 7, Universitario sin título | 8, Universitario con título | 9, Posgrado sin título | 10, Posgrado con título",,,,,y,,y,,,,,
