Variable / Field Name,Field Type,Field Label,"Choices, Calculations, OR Slider Labels"
imicosup_3,radio,¿Usted cree que la organización tendrá suficientes supervisores para implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicosup_4,radio,¿Usted cree que la organización tendrá suficiente acceso a los instructores del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_1,radio,¿Usted cree que las personas de la comunidad estarán al tanto que los servicios del PROGRAMA están disponibles?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_2,radio,¿Usted cree que los pacientes que buscan ayuda podrán comenzar EL PROGRAMA con poco tiempo de espera?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_3,radio,¿Usted cree que la mayoría de la gente en la comunidad (personas que asisten al sitio de atención) buscaría los servicios del PROGRAMA si los necesitaran?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_4,radio,"¿Usted cree que las personas con bajos recursos económicos de la comunidad buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_5,radio,"¿Usted cree que las mujeres buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoac_6,radio,"¿Usted cree que los hombres buscarían los servicios del PROGRAMA si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoac_7,radio,"¿Usted cree que los padres u otros cuidadores buscarían los servicios del PROGRAMA para sus hijos si los necesitaran? (Si responde ""De ningún modo"" o ""Un poco"" ver la casilla que se abre abajo para anotar las razones)","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoacc_6,notes,¿Cuáles son las razones por las que no buscarían servicios?,
imicoacc_8,notes,¿Cuáles son las razones por las que no buscarían servicios?,
imicoacc_10,notes,¿Cuáles son las razones por las que no buscarían servicios?,
imicoacc_17,notes,¿Cuáles son las razones por las que no buscarían servicios?,
imicoacc_18,notes,¿Quién no buscaría los servicios del PROGRAMA dentro de su comunidad?,
imicoao_1,radio,¿Su moral en el trabajo es alta?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_2,radio,¿Su carga de trabajo es manejable (lo que significa que usted no se siente estresado o con demasiado trabajo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_3,radio,¿Siente que está bien informado sobre las cosas que debe saber dentro de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_4,radio,¿Su organización le mantiene bien informado sobre lo que necesita saber para hacer su trabajo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_5,radio,"Cuándo tiene un problema en el trabajo, ¿sabe a quién acudir para obtener la respuesta?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_6,radio,¿La organización para la que trabaja promueve su crecimiento profesional?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_7,radio,¿La organización para la que trabaja es adaptable a sus necesidades?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_8,radio,¿Está satisfecho con la compensación monetaria que recibe por su trabajo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_9,radio,¿Qué tanto le importa la dirección y el éxito de la organización en la que trabaja?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoao_10,radio,¿Se ofrecen suficientes oportunidades de aprendizaje para usted a través de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoat_1,radio,¿La comunicación entre las personas de su organización es positiva y útil?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoat_2,radio,¿El ambiente de trabajo es en general positivo?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoat_3,radio,"¿Usted cree que hay un alto nivel de cohesión dentro de su organización (por ejemplo, el personal se lleva bien trabajando juntos como un equipo)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicoat_4,radio,¿El personal de su organización se siente motivado?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolp_1,radio,¿Los líderes de su organización tendrán estándares de calidad claros para la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolp_2,radio,¿Los líderes de su organización tendrán un plan para facilitar la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolp_3,radio,¿Los líderes eliminarán en su organización los obstáculos para la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolc_1,radio,¿Los líderes de su organización entenderán de qué están hablando cuando se trata del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolc_2,radio,¿Los líderes de su organización estarán informados sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolc_3,radio,¿Los líderes de su organización serán capaces de responder a las preguntas del personal (salud y administrativo) sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicola_1,radio,¿Los líderes de su organización apoyarán los esfuerzos de los proveedores (personal de salud) para usar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicola_2,radio,¿Los líderes de su organización apoyarán los esfuerzos de los proveedores (personal de salud) para aprender más sobre EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicola_3,radio,¿Los líderes de su organización reconocerán y apreciarán los esfuerzos de los proveedores (personal de salud)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolper_1,radio,¿Los líderes de su organización perseverarán a través de los altibajos de la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolper_2,radio,¿Los líderes de su organización continuarán trabajando a pesar de los desafíos de implementar EL PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicolper_3,radio,¿Los líderes de su organización abordarán de manera efectiva las cuestiones cruciales relacionadas con la implementación del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_1,radio,¿Usted cree que los líderes de su organización son buenos líderes?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_2,radio,¿Usted cree que es fácil hablar con los líderes de su organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_3,radio,¿Usted cree que los líderes de su organización son confiables?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_4,radio,¿Usted cree que los líderes de su organización se comportan de manera que obtienen respeto de los miembros del personal (de salud y administrativo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_5,radio,¿Los líderes de su organización tomarían las decisiones apropiadas para ayudar a asegurar el éxito del PROGRAMA?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_6,radio,¿Los líderes de su organización están abiertos a escuchar ideas que difieren de las suyas?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_7,radio,¿Los líderes de su organización ayudan a los miembros del personal a ver cómo las metas del programa se alinean con sus metas personales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_8,radio,¿Los líderes de su organización hablarían acerca de las metas para el futuro del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicohg_9,radio,¿Los líderes de su organización tendrán estrategias para ayudar a alcanzar los objetivos del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicosos_1,radio,¿Usted cree que el PROGRAMA continuará después de que el apoyo externo termine?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
imicosos_3,notes,"¿Qué significaría para la institución la capacidad de sostenibilidad del PROGRAMA?
",
imicosos_2,notes,¿Cuáles consideraría que son las barreras para la sostenibilidad del PROGRAMA en la institución?,
psimico90,radio,¿Existiría un sistema para monitorizar los resultados del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico91,radio,"¿La gente dentro de la organización monitoriza los resultados del paciente (p. ej., síntomas)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico92,radio,¿Las personas dentro de la organización seguirían o monitorizarían el número de pacientes atendidos por el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico93,radio,"¿La gente dentro de la organización monitorizan las actividades clínicas (p. ej., qué se hace en cita con los pacientes, supervisión)?","1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico94,radio,¿La gente dentro de la organización monitorizan la calidad de los servicios que los pacientes reciben?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico95,radio,¿Utilizaría la organización los resultados del programa para guiar la planificación e implementación del programa en el futuro?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico96,radio,¿Se compartiría los resultados de la evaluación del programa con los donantes (fuentes de financiación para investigación) y otros actores claves?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico97,radio,¿La organización compartiría información sobre los efectos del programa con la comunidad en general?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico98,radio,¿Los hallazgos o problemas negativos del programa serían investigados y tratados de manera efectiva?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico99,radio,¿La organización monitoriza las necesidades de la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico100,radio,¿La organización tendría un proceso para monitorizar cuáles cambios de programa se necesita hacer?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico101,radio,¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades de la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico102,radio,¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades del personal de salud?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico103,radio,¿La organización tendría un proceso para adaptar el programa a los cambios en las necesidades de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico104,radio,¿La organización tendría un proceso para adaptar el programa a los cambios en las políticas gubernamentales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico105,radio,¿La organización tendría un proceso para eliminar partes del programa que son ineficaces y no deberían continuar?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico106,radio,¿La organización tendría un proceso para adaptar la capacitación para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico107,radio,¿La organización tendría un proceso para adaptar la supervisión para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico108,radio,¿Los líderes de la organización comunicaría las ventajas del programa a otros dentro de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico109,radio,¿Los líderes de la organización incentivarían un conocimiento organizacional más amplio del programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico110,radio,¿Los líderes de la organización articularían eficazmente la visión del programa al personal (de salud y administrativo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico111,radio,¿El nivel de rotación del personal es manejable?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico112,radio,¿La organización tiene estrategias para ayudar a retener al personal (de salud y administrativo)?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico113,radio,¿La organización tendría un sistema para contratar rápidamente nuevo personal para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico114,radio,¿La organización tendría un sistema para la formación de personal (de salud) nuevo para el programa según sea necesario?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico115,radio,¿El programa estaría bien integrado dentro de las operaciones de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico116,radio,¿Los líderes de la organización manejarían con efectividad el dinero necesario para el programa?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico117,radio,¿Los líderes de la organización manejarían eficientemente el personal y otros recursos?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico118,radio,¿Los líderes de la organización proveerían comentarios regulares al personal?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico119,radio,¿Los líderes de la organización proporcionarían actualizaciones regulares sobre el programa a otros dentro de la organización?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico120,radio,¿La organización comunicarían la necesidad del programa al público?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico121,radio,¿Los líderes de la organización articularían eficazmente la visión del programa al público?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico122,radio,¿Se divulgaría el programa de una manera que cree interés?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico123,radio,¿La organización aumentaría la conciencia de la comunidad sobre los temas que el programa aborda?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico124,radio,¿La organización demostraría el valor del programa a la comunidad?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico125,radio,¿La organización comunicaría la necesidad para el programa al gobierno?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico126,radio,¿Los líderes de la organización articularían eficazmente la visión del programa al gobierno?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico127,radio,¿Se divulgaría el programa de una manera que cree interés entre los funcionarios gubernamentales?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
psimico128,radio,¿La organización aumentaría la conciencia del gobierno sobre los temas que el programa aborda?,"1, De ningún modo | 2, Un poco | 3, Una cantidad moderada | 4, Mucho | 5, No lo sé | 6, Prefiero no responder"
